City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
220,Acarau,BR,89.6,broken clouds,-2.8856,-40.12,castelo pizzaria
221,Biak,ID,76.89,overcast clouds,-0.9131,122.8766,Penginapan Kim
222,Tabuk,PH,73.42,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
224,Vila Franca Do Campo,PT,72.01,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
227,Beira,MZ,77.92,clear sky,-19.8436,34.8389,Beira Terrace Hotel
234,Coahuayana,MX,84.76,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
235,Nueva Guinea,NI,81.39,light rain,11.6876,-84.4562,Posadita La Reyna
237,Nanakuli,US,76.1,scattered clouds,21.3906,-158.1547,Camp Pālehua
238,Makakilo City,US,73.69,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
241,Payo,ID,73.71,overcast clouds,-3.7508,103.6372,Mess keban agung
242,Roswell,US,68.88,clear sky,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
243,Najran,SA,73.76,clear sky,17.4924,44.1277,محمد هادي ال فطيح
246,Ejido,VE,78.66,scattered clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
255,Batie,BF,85.37,overcast clouds,9.8833,-2.9167,Auberge SONDAR AFACI
256,West Bay,KY,88.07,broken clouds,19.3667,-81.4167,Calypso Cove
258,Kallithea,GR,75.09,clear sky,37.95,23.7,Athens Marriott Hotel
259,Tuskegee,US,71.1,clear sky,32.424,-85.6916,Macon Motel
261,Blackwater,AU,75.87,overcast clouds,-23.5833,148.8833,Blackwater Motor Inn
263,Mahibadhoo,MV,83.23,scattered clouds,3.7833,72.9667,Omadhoo Inn
264,Namibe,AO,71.64,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
267,Road Town,VG,86.2,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
269,Sao Joao Da Barra,BR,74.17,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
