City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Huarmey,PE,-10.0681,-78.1522,68.76,72,84,11.14,broken clouds
118,La Rioja,ES,42.25,-2.5,62.04,40,0,4.38,clear sky
119,Ascension,US,30.2169,-90.9001,82.0,81,75,5.75,broken clouds
120,Rafaela,AR,-31.2503,-61.4867,71.06,58,100,7.0,overcast clouds
121,Gondanglegi,ID,-7.7479,112.0132,77.45,85,100,10.42,overcast clouds
122,Shingu,JP,33.7333,135.9833,49.73,73,0,7.34,clear sky
123,Walvis Bay,NA,-22.9575,14.5053,66.09,65,0,24.65,clear sky
124,Yulara,AU,-25.2406,130.9889,66.81,38,0,19.46,clear sky
125,Avarua,CK,-21.2078,-159.775,68.05,68,75,6.91,light rain
126,Hambantota,LK,6.1241,81.1185,80.94,89,20,3.44,few clouds
127,Kimbe,PG,-5.5502,150.1429,74.37,92,11,4.23,few clouds
128,Redlands,US,34.0556,-117.1825,67.39,83,90,4.61,haze
129,Gogrial,SS,8.5332,28.1004,81.72,57,95,3.62,overcast clouds
130,Sorong,ID,-0.8833,131.25,79.43,82,38,6.82,moderate rain
131,Mahebourg,MU,-20.4081,57.7,75.25,79,12,11.21,few clouds
132,Ulladulla,AU,-35.35,150.4667,63.77,92,96,12.77,overcast clouds
133,Akdepe,TM,42.0551,59.3788,53.6,28,0,10.29,clear sky
134,Kondopoga,RU,62.2057,34.2614,34.61,76,100,8.52,overcast clouds
135,Apache Junction,US,33.4151,-111.5496,74.8,32,1,5.01,clear sky
136,Yongan,CN,39.6957,113.6871,42.55,59,49,2.73,scattered clouds
137,Faanui,PF,-16.4833,-151.75,77.07,76,84,4.45,broken clouds
138,Paita,PE,-5.0892,-81.1144,69.3,75,100,10.0,overcast clouds
139,Dingle,PH,10.9995,122.6711,74.75,95,100,5.99,overcast clouds
140,Marawi,PH,7.9986,124.2928,67.64,93,100,3.69,light rain
141,Cabo San Lucas,MX,22.8909,-109.9124,84.06,69,4,7.45,clear sky
142,Zhob,PK,31.3411,69.4481,63.48,20,0,3.02,clear sky
143,Merauke,ID,-8.4667,140.3333,78.12,77,80,11.95,broken clouds
144,Santa Maria Del Oro,MX,25.9333,-105.3667,69.1,41,0,4.61,clear sky
145,Hangu,CN,39.2489,117.7892,46.44,52,0,6.17,clear sky
