City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Sept-Iles,CA,2021-10-20 19:39:00,50.2001,-66.3821,283.74,76,75,1.79
130,Tessalit,ML,2021-10-20 19:42:45,20.1986,1.0114,299.7,18,0,4.29
131,Yanam,IN,2021-10-20 19:42:45,16.7333,82.2167,298.29,94,60,1.07
132,Vanavara,RU,2021-10-20 19:42:46,60.34,102.2797,274.07,92,100,2.7
133,Margate,GB,2021-10-20 19:42:46,51.3813,1.3862,287.21,82,100,2.84
134,Paramonga,PE,2021-10-20 19:42:47,-10.6667,-77.8333,293.29,76,68,4.77
135,Warmbad,NA,2021-10-20 19:42:47,-28.45,18.7333,296.69,53,100,6.88
136,Pevek,RU,2021-10-20 19:42:48,69.7008,170.3133,265.57,93,100,6.28
137,Tasiilaq,GL,2021-10-20 19:42:48,65.6145,-37.6368,273.24,56,85,4.69
138,Matara,LK,2021-10-20 19:42:48,5.9485,80.5353,298.19,88,89,2.01
139,Bereda,ES,2021-10-20 19:42:49,43.2686,-7.5406,289.49,99,100,3.18
140,San Patricio,US,2021-10-20 19:38:39,28.017,-97.5169,305.38,50,32,2.57
141,Sao Filipe,CV,2021-10-20 19:42:50,14.8961,-24.4956,301.04,62,0,3.6
142,Ust-Omchug,RU,2021-10-20 19:42:50,61.15,149.6333,244.53,96,19,0.44
143,Kamaishi,JP,2021-10-20 19:42:50,39.2667,141.8833,282.79,78,6,4.33
144,Torbay,CA,2021-10-20 19:42:51,47.6666,-52.7314,283.01,95,90,5.14
145,Buraydah,SA,2021-10-20 19:42:51,26.326,43.975,300.4,26,0,4.64
146,Esperance,AU,2021-10-20 19:39:25,-33.8667,121.9,287.06,87,19,6.84
147,Arraial Do Cabo,BR,2021-10-20 19:38:30,-22.9661,-42.0278,291.13,94,90,2.57
148,Hilo,US,2021-10-20 19:42:52,19.7297,-155.09,301.64,73,40,3.09
149,Kloulklubed,PW,2021-10-20 19:42:52,7.0419,134.2556,298.43,79,100,4.45
150,Mozhga,RU,2021-10-20 19:42:53,56.4447,52.2276,271.35,95,50,2.34
151,Anadyr,RU,2021-10-20 19:42:11,64.75,177.4833,267.43,93,90,6.0
152,Chokurdakh,RU,2021-10-20 19:42:53,70.6333,147.9167,246.67,95,97,1.27
153,Port Hawkesbury,CA,2021-10-20 19:42:54,45.6169,-61.3485,286.92,84,75,4.47
154,Kumluca,TR,2021-10-20 19:42:54,36.3703,30.2869,293.91,53,0,3.28
155,Cabo San Lucas,MX,2021-10-20 19:38:20,22.8909,-109.9124,305.71,58,20,1.54
156,Adrar,MR,2021-10-20 19:40:10,20.5022,-10.0711,300.44,16,2,5.08
157,Tommot,RU,2021-10-20 19:42:55,58.9564,126.2925,272.53,90,100,4.58
158,Codrington,AU,2021-10-20 19:42:55,-38.2667,141.9667,290.94,41,100,6.14
159,Provideniya,RU,2021-10-20 19:42:56,64.3833,-173.3,269.21,80,0,0.0
160,Cherskiy,RU,2021-10-20 19:42:56,68.75,161.3,251.79,100,100,2.39
161,Fortuna,US,2021-10-20 19:42:56,40.5982,-124.1573,290.36,69,75,2.68
162,Padang,ID,2021-10-20 19:42:57,-0.9492,100.3543,297.18,91,100,2.19
163,Iskateley,RU,2021-10-20 19:42:57,67.6803,53.1512,271.75,78,32,5.51
164,Mollendo,PE,2021-10-20 19:42:58,-17.0231,-72.0147,291.66,75,95,4.04
165,Dharchula,IN,2021-10-20 19:42:58,29.85,80.5333,289.49,79,4,2.47
166,Taoudenni,ML,2021-10-20 19:41:54,22.6783,-3.9836,299.43,21,1,4.74
167,Glenwood Springs,US,2021-10-20 19:42:59,39.5505,-107.3248,287.49,59,1,5.14
168,Malakal,SS,2021-10-20 19:42:59,9.5334,31.6605,296.92,80,76,1.45
169,Iqaluit,CA,2021-10-20 19:38:27,63.7506,-68.5145,274.0,80,75,0.0
170,Carutapera,BR,2021-10-20 19:42:59,-1.195,-46.02,301.44,67,19,3.6
171,Mahebourg,MU,2021-10-20 19:40:38,-20.4081,57.7,297.31,73,75,3.09
172,Jalu,LY,2021-10-20 19:39:00,29.0331,21.5482,296.37,41,14,3.74
173,Kodiak,US,2021-10-20 19:43:00,57.79,-152.4072,278.88,81,90,4.63
174,Cayenne,GF,2021-10-20 19:43:01,4.9333,-52.3333,304.17,77,0,1.34
175,Boden,SE,2021-10-20 19:43:01,65.8252,21.6886,273.15,98,100,4.48
176,Zhicheng,CN,2021-10-20 19:43:02,30.2956,111.5047,283.54,90,100,0.75
177,Vostok,RU,2021-10-20 19:39:51,46.4856,135.8833,263.57,84,6,1.61
178,Longyearbyen,SJ,2021-10-20 19:41:33,78.2186,15.6401,261.06,72,0,5.66
179,Whitehorse,CA,2021-10-20 19:43:03,60.7161,-135.0538,276.58,55,75,5.36
180,At-Bashi,KG,2021-10-20 19:43:04,41.1702,75.8106,280.88,46,100,0.79
181,Ozinki,RU,2021-10-20 19:43:04,51.1786,49.6769,275.25,67,74,4.97
182,Coruripe,BR,2021-10-20 19:43:05,-10.1256,-36.1756,299.39,78,25,6.74
183,Yantzaza,EC,2021-10-20 19:43:05,-3.8278,-78.7594,300.6,56,53,0.98
184,Souillac,MU,2021-10-20 19:43:05,-20.5167,57.5167,297.36,73,75,3.09
185,Gamba,GA,2021-10-20 19:38:29,-2.65,10.0,297.67,84,98,2.56
186,Lasa,IT,2021-10-20 19:43:06,46.6166,10.7002,285.16,95,98,2.37
187,Queimadas,BR,2021-10-20 19:43:07,-10.9783,-39.6264,308.26,28,36,2.02
188,Amahai,ID,2021-10-20 19:43:07,-3.3333,128.9167,298.59,85,93,1.59
189,Frederico Westphalen,BR,2021-10-20 19:43:07,-27.3592,-53.3944,297.94,53,1,1.07
190,Lamar,US,2021-10-20 19:43:08,33.6668,-95.5836,300.73,63,75,4.12
